Plant Name,Image File,Category,Light,Water,Notes
Pink Princess Philodendron,pink-princess-philadendron.jpeg,Tropical & Foliage,Bright indirect light.,Let top inch of soil dry before watering.,Prefers moderate to high humidity. Avoid direct sunlight to preserve variegation.
Calathea (likely roseopicta),calathea.jpeg,Tropical & Foliage,Low to medium indirect light.,"Keep soil consistently moist, not soggy.",High humidity is essential. Use distilled water to avoid leaf browning.
Rattlesnake Plant (Calathea lancifolia),rattlesnake-plant.jpeg,Tropical & Foliage,Low to medium indirect light.,Keep soil consistently moist.,High humidity is essential. Use distilled water if possible.
Croton,croton.jpeg,Tropical & Foliage,Bright indirect light.,Keep soil moist but not soggy.,High humidity preferred. Sensitive to drafts and low light.
White Knight Philodendron,Whie-knight.jpeg,Tropical & Foliage,Bright indirect light.,Let top inch of soil dry before watering.,Moderate to high humidity. Wipe leaves occasionally.
Snake Plant,snake-plant.jpeg,Tropical & Foliage,Low to bright indirect light.,Let soil dry completely between watering.,Very tolerant. Avoid overwatering.
Monstera Deliciosa,monstera-delicioisa.jpeg,Tropical & Foliage,Bright indirect light.,Water when top inch of soil is dry.,Likes moderate humidity. Stake or plank for support.
Polka Dot Plants (Hypoestes phyllostachya),polka-dot-plants.jpeg,Tropical & Foliage,Bright indirect light.,Keep soil lightly moist.,High humidity preferred. Pinch back regularly to prevent legginess.
Tradescantia (Rainbow variety),tradescantia.jpeg,Tropical & Foliage,Bright indirect light.,Keep soil slightly moist.,Medium humidity. Pinch tips to maintain fullness.
Bromeliad,Bromeliad.jpeg,Tropical & Foliage,Bright indirect light.,Keep water in central 'cup'.,Flush cup weekly to prevent buildup. Moderate to high humidity.
Orchid (Phalaenopsis),orchid.jpeg,Tropical & Foliage,Bright indirect light.,Water weekly in bark mix.,Avoid wetting crown. High humidity preferred.
Succulents (zebra haworthia + haworthia cooperi),suculents.jpeg,Succulents & Cacti,Bright direct light.,Allow soil to dry completely between waterings.,"Low humidity. Use a gritty, well-draining soil mix."
Cactus + Echeveria,cactus-and-succulent.jpeg,Succulents & Cacti,Full sun.,Let soil dry out completely before watering.,Very low humidity needs. Avoid cold drafts.
Assorted Cactus,more-succulents.jpeg,Succulents & Cacti,Bright direct light.,Minimal water.,Ensure excellent drainage. Rotate to promote even growth.
Propeller Plant (Crassula perfoliata),propeller-plant.jpeg,Succulents & Cacti,Bright direct sun.,Let soil dry fully.,Low humidity. Avoid misting or overwatering.
String of Pearls,string-of-pearls.jpeg,Succulents & Cacti,Bright indirect to direct light.,Let soil dry fully between waterings.,Low humidity. Use shallow pots with drainage.
Aloe Vera,aloe-vera.jpeg,Succulents & Cacti,Bright direct light.,Let soil dry completely before watering.,Low humidity. Avoid cold or drafty areas.
Pothos,pothos.jpeg,Tropical & Foliage,Low to bright indirect light.,Let top inch of soil dry before watering.,Very tolerant; can grow in water or soil.
Bamboo,bamboo.jpeg,Tropical & Foliage,Low to medium indirect light.,Keep roots submerged in water and change weekly.,Ensure stems remain above water level.
Bird of Paradise,bird-of-paradise.jpeg,Tropical & Foliage,Bright indirect to direct light.,Water when top inch of soil is dry.,Prefers high humidity; fertilize during growing season.
Rubber Plant,rubber-plant.jpeg,Tropical & Foliage,Bright indirect light.,Water when top inch of soil is dry.,Wipe leaves to remove dust; avoid cold drafts.
Alocasia Green Dragon,alocasia-green-dragon.jpeg,Tropical & Foliage,Bright indirect light.,Keep soil evenly moist.,High humidity and warmth appreciated.
Monstera Adansonii,monstera-adansonii.jpeg,Tropical & Foliage,Bright indirect light.,Water when top inch of soil is dry.,Provide support for climbing; enjoys humidity.
Piper crocatum,piper-crocatum.jpeg,Tropical & Foliage,Bright indirect light.,Keep soil slightly moist.,High humidity required; avoid direct sun.
Dracaena fragrans (Jessina),dracaena-fragrans.jpeg,Tropical & Foliage,Low to medium indirect light.,Water when top inch of soil is dry.,Avoid fluoride in water; tolerant of low light.
Scindapsus Silver Exotica,scindapsus-silver-exotica.jpeg,Tropical & Foliage,Medium to bright indirect light.,Let top inch of soil dry before watering.,Trailing vine; avoid direct sun.
Dischidia ovata,dischidia-ovata.jpeg,Tropical & Foliage,Bright indirect light.,Allow soil to dry slightly between waterings.,Prefers high humidity and good air circulation.
Red Vein Maranta,red-vein-maranta.jpeg,Tropical & Foliage,Low to medium indirect light.,Keep soil consistently moist.,Leaves fold at night; high humidity preferred.
Kalanchoe tomentosa,kalanchoe-tomentosa.jpeg,Succulents & Cacti,Bright indirect light.,Let soil dry completely before watering.,Fuzzy leaves; avoid getting them wet.
Spider Plant Vittatum,spider-plant-vittatum.jpeg,Tropical & Foliage,Bright indirect light.,Water when top inch of soil is dry.,Produces plantlets; tolerant of neglect.
Peperomia Rotundifolia,peperomia-rotundifolia.jpeg,Tropical & Foliage,Bright indirect light.,Let top inch of soil dry before watering.,Trailing habit; enjoys humidity.
Peperomia Argyreia,peperomia-argyreia.jpeg,Tropical & Foliage,Bright indirect light.,Water when top inch of soil is dry.,Avoid direct sun; sensitive to overwatering.
