Plant Name,Image File,Category,Light,Water,Notes
Pink Princess Philodendron,pink_princess_philodendron,Tropical & Foliage,Bright indirect light.,Let top inch of soil dry before watering.,Prefers moderate to high humidity. Avoid direct sunlight to preserve variegation.
Calathea (likely roseopicta),calathea_roseopicta_medallion,Tropical & Foliage,Low to medium indirect light.,"Keep soil consistently moist, not soggy.",High humidity is essential. Use distilled water to avoid leaf browning.
Rattlesnake Plant (Calathea lancifolia),rattlesnake_plant,Tropical & Foliage,Low to medium indirect light.,Keep soil consistently moist.,High humidity is essential. Use distilled water if possible.
Croton,croton,Tropical & Foliage,Bright indirect light.,Keep soil moist but not soggy.,High humidity preferred. Sensitive to drafts and low light.
White Knight Philodendron,white_knight_philodendron,Tropical & Foliage,Bright indirect light.,Let top inch of soil dry before watering.,Moderate to high humidity. Wipe leaves occasionally.
Monstera Deliciosa,monstera_deliciosa,Tropical & Foliage,Bright indirect light.,Water when top inch of soil is dry.,Likes moderate humidity. Stake or plank for support.
Polka Dot Plants (Hypoestes phyllostachya),polka_dot_plant_white,Tropical & Foliage,Bright indirect light.,Keep soil lightly moist.,High humidity preferred. Pinch back regularly to prevent legginess.
Tradescantia (Rainbow variety),wandering_dude_tradescantia,Tropical & Foliage,Bright indirect light.,Keep soil slightly moist.,Medium humidity. Pinch tips to maintain fullness.
Bromeliad,neoregelia_bromeliad,Tropical & Foliage,Bright indirect light.,Keep water in central 'cup'.,Flush cup weekly to prevent buildup. Moderate to high humidity.
Orchid (Phalaenopsis),pink_moth_orchid,Tropical & Foliage,Bright indirect light.,Water weekly in bark mix.,Avoid wetting crown. High humidity preferred.
Pothos,golden_pothos,Tropical & Foliage,Low to bright indirect light.,Water when top inch of soil is dry.,Very tolerant. Can grow in water or soil. Trim to maintain shape.
Bird of Paradise,bird_of_paradise,Tropical & Foliage,Bright indirect to direct light.,Keep soil moist but not soggy.,High humidity preferred. Wipe leaves regularly. Needs space to grow.
Rubber Plant,rubber_plant,Tropical & Foliage,Bright indirect light.,Water when top inch of soil is dry.,Wipe leaves regularly. Moderate humidity. Can grow quite large.
Alocasia Green Dragon,green_dragon_alocasia,Tropical & Foliage,Bright indirect light.,Keep soil consistently moist but not waterlogged.,High humidity essential. Sensitive to temperature changes.
Monstera Adansonii,swiss_cheese_monstera,Tropical & Foliage,Bright indirect light.,Water when top inch of soil is dry.,Provide climbing support. Moderate to high humidity.
Scindapsus Silver Exotica (Silver Pothos),silver_pothos,Tropical & Foliage,Bright indirect light.,Water when top inch of soil is dry.,Moderate humidity. Beautiful silver variegation on leaves.
Red Vein Maranta (Prayer Plant),red_prayer_plant,Tropical & Foliage,Low to medium indirect light.,Keep soil consistently moist.,High humidity essential. Leaves fold at night like praying hands.
